# This file is generated on 26-Aug-2022 at 13:58:53 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.2580e+00, 8.0000e-03
1, 1, 3.7500e+01, 8.9247e+00, 1.0000e-02
1, 1, 3.7500e+01, 8.2556e+00, 1.6000e-02
1, 1, 3.7500e+01, 7.5592e+00, 2.7000e-02
1, 1, 3.7500e+01, 6.9237e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.2974e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.7226e+00, 1.3000e-01
1, 1, 3.7500e+01, 5.2227e+00, 2.1000e-01
1, 1, 3.7500e+01, 4.7134e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.1964e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.7680e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2358e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.7209e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.2380e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.7882e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.2580e+00, 8.0000e-03
1, 1, 3.7500e+01, 8.9247e+00, 1.0000e-02
1, 1, 3.7500e+01, 8.2556e+00, 1.6000e-02
1, 1, 3.7500e+01, 7.5592e+00, 2.7000e-02
1, 1, 3.7500e+01, 6.9237e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.2974e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.7226e+00, 1.3000e-01
1, 1, 3.7500e+01, 5.2227e+00, 2.1000e-01
1, 1, 3.7500e+01, 4.7134e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.1964e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.7680e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2358e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.7209e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.2380e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.7882e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.2580e+00, 8.0000e-03
1, 1, 3.7500e+01, 8.9247e+00, 1.0000e-02
1, 1, 3.7500e+01, 8.2556e+00, 1.6000e-02
1, 1, 3.7500e+01, 7.5592e+00, 2.7000e-02
1, 1, 3.7500e+01, 6.9237e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.2974e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.7226e+00, 1.3000e-01
1, 1, 3.7500e+01, 5.2227e+00, 2.1000e-01
1, 1, 3.7500e+01, 4.7134e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.1964e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.7680e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2358e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.7209e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.2380e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.7882e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.2580e+00, 8.0000e-03
1, 1, 3.7500e+01, 8.9247e+00, 1.0000e-02
1, 1, 3.7500e+01, 8.2556e+00, 1.6000e-02
1, 1, 3.7500e+01, 7.5592e+00, 2.7000e-02
1, 1, 3.7500e+01, 6.9237e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.2974e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.7226e+00, 1.3000e-01
1, 1, 3.7500e+01, 5.2227e+00, 2.1000e-01
1, 1, 3.7500e+01, 4.7134e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.1964e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.7680e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2358e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.7209e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.2380e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.7882e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.2580e+00, 8.0000e-03
1, 1, 3.7500e+01, 8.9247e+00, 1.0000e-02
1, 1, 3.7500e+01, 8.2556e+00, 1.6000e-02
1, 1, 3.7500e+01, 7.5592e+00, 2.7000e-02
1, 1, 3.7500e+01, 6.9237e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.2974e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.7226e+00, 1.3000e-01
1, 1, 3.7500e+01, 5.2227e+00, 2.1000e-01
1, 1, 3.7500e+01, 4.7134e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.1964e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.7680e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2358e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.7209e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.2380e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.7882e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.2580e+00, 8.0000e-03
1, 1, 3.7500e+01, 8.9247e+00, 1.0000e-02
1, 1, 3.7500e+01, 8.2556e+00, 1.6000e-02
1, 1, 3.7500e+01, 7.5592e+00, 2.7000e-02
1, 1, 3.7500e+01, 6.9237e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.2974e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.7226e+00, 1.3000e-01
1, 1, 3.7500e+01, 5.2227e+00, 2.1000e-01
1, 1, 3.7500e+01, 4.7134e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.1964e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.7680e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2358e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.7209e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.2380e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.7882e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.2580e+00, 8.0000e-03
1, 1, 3.7500e+01, 8.9247e+00, 1.0000e-02
1, 1, 3.7500e+01, 8.2556e+00, 1.6000e-02
1, 1, 3.7500e+01, 7.5592e+00, 2.7000e-02
1, 1, 3.7500e+01, 6.9237e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.2974e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.7226e+00, 1.3000e-01
1, 1, 3.7500e+01, 5.2227e+00, 2.1000e-01
1, 1, 3.7500e+01, 4.7134e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.1964e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.7680e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2358e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.7209e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.2380e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.7882e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.2580e+00, 8.0000e-03
1, 1, 3.7500e+01, 8.9247e+00, 1.0000e-02
1, 1, 3.7500e+01, 8.2556e+00, 1.6000e-02
1, 1, 3.7500e+01, 7.5592e+00, 2.7000e-02
1, 1, 3.7500e+01, 6.9237e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.2974e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.7226e+00, 1.3000e-01
1, 1, 3.7500e+01, 5.2227e+00, 2.1000e-01
1, 1, 3.7500e+01, 4.7134e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.1964e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.7680e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2358e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.7209e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.2380e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.7882e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.2580e+00, 8.0000e-03
1, 1, 3.7500e+01, 8.9247e+00, 1.0000e-02
1, 1, 3.7500e+01, 8.2556e+00, 1.6000e-02
1, 1, 3.7500e+01, 7.5592e+00, 2.7000e-02
1, 1, 3.7500e+01, 6.9237e+00, 4.5000e-02
1, 1, 3.7500e+01, 6.2974e+00, 7.7000e-02
1, 1, 3.7500e+01, 5.7226e+00, 1.3000e-01
1, 1, 3.7500e+01, 5.2227e+00, 2.1000e-01
1, 1, 3.7500e+01, 4.7134e+00, 3.5000e-01
1, 1, 3.7500e+01, 4.1964e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.7680e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.2358e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.7209e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.2380e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.7882e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4409e+00, 1.2000e+01
1, 1, 3.7500e+01, 9.9654e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.3903e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.4116e-01, 4.0000e+01
1, 1, 3.7500e+01, -9.8589e-02, 5.5000e+01
1, 1, 3.7500e+01, -3.9501e-01, 7.2000e+01
1, 1, 3.7500e+01, -6.4746e-01, 9.0000e+01
1, 1, 3.7500e+01, -7.5729e-01, 9.9000e+01
1, 1, 3.7500e+01, 1.2929e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.1582e+01, 2.0000e-03
1, 1, 3.7500e+01, 9.9952e+00, 5.0000e-03
