# This file is generated on 02-Oct-2023 at 12:34:01 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 9, 3.9400e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 1.9874e-01, 3.5739e-01
1, 9, 3.9400e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 7.7398e-02, 1.3918e-01
1, 9, 3.9400e+01, 4.5000e+01, 1.0000e+00, 4.0000e+01, 4.0497e-02, 7.2824e-02
1, 9, 3.9400e+01, 4.5000e+01, 1.0000e+00, 5.5000e+01, 6.9347e-03, 1.2470e-02
1, 9, 3.9400e+01, 4.5000e+01, 1.0000e+00, 7.2000e+01, 0.0000e+00, 0.0000e+00
1, 9, 3.9400e+01, 4.5000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 9, 3.9400e+01, 4.5000e+01, 1.0000e+00, 9.9000e+01, 0.0000e+00, 0.0000e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 1.0000e-03, 1.8548e+00, 3.0788e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 2.0000e-03, 1.8548e+00, 3.0788e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 5.0000e-03, 1.8548e+00, 3.0788e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 8.0000e-03, 1.8548e+00, 3.0788e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 1.8548e+00, 3.0788e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 1.8548e+00, 3.0788e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 2.7000e-02, 1.8548e+00, 3.0788e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 4.5000e-02, 1.8548e+00, 3.0788e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 7.7000e-02, 1.8548e+00, 3.0788e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 1.3000e-01, 1.7845e+00, 2.9621e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 2.1000e-01, 1.6574e+00, 2.7512e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 3.5000e-01, 1.5248e+00, 2.5310e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 6.0000e-01, 1.3630e+00, 2.2625e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 9.5000e-01, 1.2329e+00, 2.0465e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 1.7000e+00, 1.0531e+00, 1.7481e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 3.0000e+00, 8.6579e-01, 1.4371e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 5.1000e+00, 6.7612e-01, 1.1223e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 8.3000e+00, 4.9344e-01, 8.1907e-01
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 1.2000e+01, 3.5969e-01, 5.9706e-01
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 1.9000e+01, 1.9874e-01, 3.2990e-01
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 3.0000e+01, 7.7398e-02, 1.2848e-01
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 4.0000e+01, 4.0497e-02, 6.7221e-02
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 5.5000e+01, 6.9347e-03, 1.1511e-02
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 7.2000e+01, 0.0000e+00, 0.0000e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 9.9000e+01, 0.0000e+00, 0.0000e+00
