# This file is generated on 26-Oct-2022 at 15:56:18 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
1, 1, 3.7500e+01, 9.2763e-01, 1.0000e-02
1, 1, 3.7500e+01, 8.5808e-01, 1.6000e-02
1, 1, 3.7500e+01, 7.8570e-01, 2.7000e-02
1, 1, 3.7500e+01, 7.1965e-01, 4.5000e-02
1, 1, 3.7500e+01, 6.5455e-01, 7.7000e-02
1, 1, 3.7500e+01, 5.9480e-01, 1.3000e-01
1, 1, 3.7500e+01, 5.4284e-01, 2.1000e-01
1, 1, 3.7500e+01, 4.8990e-01, 3.5000e-01
1, 1, 3.7500e+01, 4.3617e-01, 6.0000e-01
1, 1, 3.7500e+01, 3.9164e-01, 9.5000e-01
1, 1, 3.7500e+01, 3.3632e-01, 1.7000e+00
1, 1, 3.7500e+01, 2.8281e-01, 3.0000e+00
1, 1, 3.7500e+01, 2.3262e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.8587e-01, 8.3000e+00
1, 1, 3.7500e+01, 1.4976e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.0358e-01, 1.9000e+01
1, 1, 3.7500e+01, 5.6026e-02, 3.0000e+01
1, 1, 3.7500e+01, 2.5066e-02, 4.0000e+01
1, 1, 3.7500e+01, -1.0247e-02, 5.5000e+01
1, 1, 3.7500e+01, -4.1058e-02, 7.2000e+01
1, 1, 3.7500e+01, -6.7297e-02, 9.0000e+01
1, 1, 3.7500e+01, -7.8712e-02, 9.9000e+01
1, 1, 3.7500e+01, 1.3439e+00, 1.0000e-03
1, 1, 3.7500e+01, 1.2039e+00, 2.0000e-03
1, 1, 3.7500e+01, 1.0389e+00, 5.0000e-03
1, 1, 3.7500e+01, 9.6227e-01, 8.0000e-03
