# This file is generated on 26-Oct-2022 at 15:56:18 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-02
1, 1, 3.7500e+01, 4.8377e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.8377e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.8377e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.8377e+00, 7.7000e-02
1, 1, 3.7500e+01, 4.6584e+00, 1.3000e-01
1, 1, 3.7500e+01, 4.3260e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.9400e+00, 3.5000e-01
1, 1, 3.7500e+01, 3.5034e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.0329e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.4427e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7734e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1148e+00, 5.1000e+00
1, 1, 3.7500e+01, 6.5574e-01, 8.3000e+00
1, 1, 3.7500e+01, 3.9252e-01, 1.2000e+01
1, 1, 3.7500e+01, 1.7180e-01, 1.9000e+01
1, 1, 3.7500e+01, 4.5366e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.9850e-02, 4.0000e+01
1, 1, 3.7500e+01, 2.7608e-05, 5.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 7.2000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.9000e+01
1, 1, 3.7500e+01, 4.8377e+00, 1.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 2.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 5.0000e-03
1, 1, 3.7500e+01, 4.8377e+00, 8.0000e-03
